"Date","Price","Open","High","Low","Change %"
"Jun 17, 2021","6.4225","6.3972","6.4254","6.3972","0.40%"
"Jun 16, 2021","6.3969","6.4026","6.4068","6.3945","-0.13%"
"Jun 15, 2021","6.4052","6.4056","6.4089","6.3979","0.13%"
"Jun 11, 2021","6.3967","6.3869","6.4005","6.3839","0.06%"
"Jun 10, 2021","6.3929","6.3875","6.3970","6.3810","0.10%"
"Jun 09, 2021","6.3865","6.3986","6.3994","6.3818","-0.21%"
"Jun 08, 2021","6.4000","6.3915","6.4025","6.3885","0.06%"
"Jun 07, 2021","6.3963","6.3960","6.4038","6.3925","0.03%"
"Jun 04, 2021","6.3945","6.4047","6.4135","6.3932","-0.14%"
"Jun 03, 2021","6.4036","6.3811","6.4056","6.3797","0.36%"
"Jun 02, 2021","6.3805","6.3780","6.3920","6.3760","0.01%"
"Jun 01, 2021","6.3796","6.3676","6.3858","6.3611","0.17%"
"May 31, 2021","6.3688","6.3690","6.3757","6.3568","0.02%"
"May 28, 2021","6.3674","6.3830","6.3854","6.3612","-0.24%"
"May 27, 2021","6.3824","6.3946","6.3979","6.3731","-0.13%"
"May 26, 2021","6.3905","6.4110","6.4111","6.3863","-0.30%"
"May 25, 2021","6.4100","6.4111","6.4159","6.4011","-0.12%"
"May 24, 2021","6.4177","6.4387","6.4405","6.4163","-0.25%"
"May 21, 2021","6.4339","6.4335","6.4381","6.4272","0.00%"
"May 20, 2021","6.4339","6.4350","6.4442","6.4308","-0.00%"
"May 19, 2021","6.4342","6.4246","6.4412","6.4222","0.14%"
"May 18, 2021","6.4250","6.4338","6.4356","6.4177","-0.21%"
"May 17, 2021","6.4388","6.4419","6.4457","6.4344","0.03%"
"May 14, 2021","6.4367","6.4476","6.4508","6.4292","-0.22%"
"May 13, 2021","6.4506","6.4545","6.4594","6.4472","-0.09%"
"May 12, 2021","6.4566","6.4296","6.4585","6.4276","0.44%"
"May 11, 2021","6.4285","6.4274","6.4345","6.4193","0.20%"
"May 10, 2021","6.4156","6.4337","6.4352","6.4085","-0.24%"
"May 07, 2021","6.4310","6.4662","6.4668","6.4315","-0.45%"
"May 06, 2021","6.4598","6.4808","6.4840","6.4623","-0.20%"
"Apr 30, 2021","6.4730","6.4713","6.4780","6.4633","0.03%"
"Apr 29, 2021","6.4710","6.4745","6.4800","6.4640","-0.09%"
"Apr 28, 2021","6.4771","6.4865","6.4911","6.4784","-0.09%"
"Apr 27, 2021","6.4830","6.4865","6.4914","6.4792","-0.02%"
"Apr 26, 2021","6.4844","6.4857","6.4934","6.4827","-0.16%"
"Apr 23, 2021","6.4945","6.4926","6.5004","6.4893","0.05%"
"Apr 22, 2021","6.4910","6.4892","6.4958","6.4812","0.01%"
"Apr 21, 2021","6.4903","6.5015","6.5029","6.4883","-0.12%"
"Apr 20, 2021","6.4981","6.5071","6.5097","6.4911","-0.16%"
"Apr 19, 2021","6.5085","6.5293","6.5317","6.5047","-0.18%"
"Apr 16, 2021","6.5203","6.5304","6.5348","6.5169","-0.03%"
"Apr 15, 2021","6.5220","6.5307","6.5428","6.5202","-0.11%"
"Apr 14, 2021","6.5292","6.5402","6.5438","6.5274","-0.21%"
"Apr 13, 2021","6.5431","6.5462","6.5548","6.5415","-0.02%"
"Apr 12, 2021","6.5443","6.5584","6.5609","6.5427","-0.12%"
"Apr 09, 2021","6.5522","6.5476","6.5627","6.5452","0.03%"
"Apr 08, 2021","6.5505","6.5493","6.5531","6.5453","0.14%"
"Apr 07, 2021","6.5415","6.5398","6.5475","6.5358","0.07%"
"Apr 06, 2021","6.5370","6.5546","6.5602","6.5388","-0.42%"
"Apr 02, 2021","6.5646","6.5637","6.5694","6.5578","0.00%"
"Apr 01, 2021","6.5645","6.5556","6.5792","6.5543","0.19%"
"Mar 31, 2021","6.5518","6.5687","6.5719","6.5445","-0.30%"
"Mar 30, 2021","6.5716","6.5792","6.5802","6.5622","0.06%"
"Mar 29, 2021","6.5678","6.5416","6.5746","6.5406","0.41%"
"Mar 26, 2021","6.5412","6.5391","6.5471","6.5369","-0.06%"
"Mar 25, 2021","6.5452","6.5283","6.5483","6.5283","0.34%"
"Mar 24, 2021","6.5230","6.5191","6.5286","6.5157","0.11%"
"Mar 23, 2021","6.5160","6.5063","6.5180","6.5062","0.14%"
"Mar 22, 2021","6.5070","6.5100","6.5134","6.5047","0.00%"
"Mar 19, 2021","6.5070","6.5117","6.5184","6.5005","0.02%"
"Mar 18, 2021","6.5054","6.4932","6.5125","6.4894","0.04%"
