"Date","Price","Open","High","Low","Change %"
"Apr 14, 2015","0.9386","0.9462","0.9496","0.9338","-0.81%"
"Apr 15, 2015","0.9358","0.9385","0.9463","0.9343","-0.30%"
"Apr 16, 2015","0.9293","0.9357","0.9413","0.9242","-0.69%"
"Apr 17, 2015","0.9254","0.9291","0.9315","0.9217","-0.42%"
"Apr 20, 2015","0.9311","0.9238","0.9337","0.9236","0.62%"
"Apr 21, 2015","0.9315","0.9312","0.9382","0.9274","0.04%"
"Apr 22, 2015","0.9323","0.9312","0.9339","0.9257","0.09%"
"Apr 23, 2015","0.9237","0.9324","0.9378","0.9218","-0.92%"
"Apr 24, 2015","0.9196","0.9237","0.9274","0.9173","-0.44%"
"Apr 27, 2015","0.9184","0.9196","0.9244","0.9151","-0.13%"
"Apr 28, 2015","0.9106","0.9179","0.9208","0.9097","-0.85%"
"Apr 29, 2015","0.8983","0.9105","0.9126","0.8937","-1.35%"
"Apr 30, 2015","0.8909","0.8985","0.9034","0.8875","-0.82%"
"May 01, 2015","0.8927","0.8908","0.8950","0.8857","0.20%"
"May 04, 2015","0.8972","0.8925","0.8992","0.8908","0.50%"
"May 05, 2015","0.8940","0.8971","0.9037","0.8910","-0.36%"
"May 06, 2015","0.8808","0.8938","0.8950","0.8793","-1.48%"
"May 07, 2015","0.8876","0.8811","0.8899","0.8777","0.77%"
"May 08, 2015","0.8925","0.8874","0.8945","0.8858","0.55%"
"May 11, 2015","0.8964","0.8930","0.8984","0.8921","0.44%"
"May 12, 2015","0.8917","0.8965","0.8983","0.8864","-0.52%"
"May 13, 2015","0.8805","0.8917","0.8927","0.8783","-1.26%"
"May 14, 2015","0.8764","0.8804","0.8820","0.8737","-0.47%"
"May 15, 2015","0.8732","0.8763","0.8831","0.8718","-0.37%"
"May 18, 2015","0.8838","0.8729","0.8851","0.8729","1.21%"
"May 19, 2015","0.8969","0.8836","0.8995","0.8826","1.48%"
"May 20, 2015","0.9014","0.8968","0.9041","0.8963","0.50%"
"May 21, 2015","0.8999","0.9013","0.9024","0.8941","-0.17%"
"May 22, 2015","0.9077","0.8998","0.9091","0.8921","0.87%"
"May 25, 2015","0.9109","0.9085","0.9126","0.9081","0.35%"
"May 26, 2015","0.9196","0.9109","0.9206","0.9100","0.96%"
"May 27, 2015","0.9170","0.9196","0.9244","0.9148","-0.28%"
"May 28, 2015","0.9133","0.9169","0.9201","0.9123","-0.40%"
"May 29, 2015","0.9101","0.9132","0.9153","0.9084","-0.35%"
"Jun 01, 2015","0.9151","0.9102","0.9187","0.9098","0.55%"
"Jun 02, 2015","0.8965","0.9149","0.9163","0.8935","-2.03%"
"Jun 03, 2015","0.8871","0.8963","0.9027","0.8860","-1.05%"
"Jun 04, 2015","0.8898","0.8869","0.8909","0.8787","0.30%"
"Jun 05, 2015","0.8999","0.8898","0.9052","0.8864","1.14%"
"Jun 08, 2015","0.8857","0.8997","0.9024","0.8841","-1.58%"
"Jun 09, 2015","0.8862","0.8856","0.8918","0.8813","0.06%"
"Jun 10, 2015","0.8829","0.8862","0.8882","0.8782","-0.37%"
"Jun 11, 2015","0.8882","0.8830","0.8942","0.8821","0.60%"
"Jun 12, 2015","0.8873","0.8881","0.8970","0.8851","-0.10%"
"Jun 15, 2015","0.8862","0.8907","0.8938","0.8852","-0.12%"
"Jun 16, 2015","0.8891","0.8858","0.8925","0.8825","0.33%"
"Jun 17, 2015","0.8821","0.8889","0.8918","0.8802","-0.79%"
"Jun 18, 2015","0.8802","0.8821","0.8828","0.8743","-0.22%"
"Jun 19, 2015","0.8808","0.8803","0.8855","0.8777","0.07%"
"Jun 22, 2015","0.8818","0.8799","0.8840","0.8763","0.11%"
"Jun 23, 2015","0.8952","0.8816","0.8982","0.8811","1.52%"
"Jun 24, 2015","0.8924","0.8952","0.8964","0.8899","-0.31%"
