"Date","Price","Open","High","Low","Change %"
"Apr 14, 2015","1,092.06","1,101.61","1,102.78","1,091.14","-0.87%"
"Apr 15, 2015","1,092.34","1,092.06","1,099.50","1,091.57","0.03%"
"Apr 16, 2015","1,084.45","1,092.39","1,096.28","1,081.72","-0.72%"
"Apr 17, 2015","1,083.79","1,084.57","1,087.70","1,078.84","-0.06%"
"Apr 20, 2015","1,083.25","1,083.11","1,085.40","1,077.67","-0.05%"
"Apr 21, 2015","1,083.02","1,083.26","1,086.50","1,081.50","-0.02%"
"Apr 22, 2015","1,084.07","1,083.33","1,085.80","1,076.00","0.10%"
"Apr 23, 2015","1,080.97","1,084.00","1,085.80","1,079.62","-0.29%"
"Apr 24, 2015","1,076.39","1,080.97","1,082.35","1,075.10","-0.42%"
"Apr 27, 2015","1,069.01","1,077.60","1,077.86","1,068.36","-0.69%"
"Apr 28, 2015","1,064.38","1,069.01","1,072.80","1,063.70","-0.43%"
"Apr 29, 2015","1,070.32","1,064.37","1,073.57","1,064.01","0.56%"
"Apr 30, 2015","1,077.34","1,069.94","1,078.85","1,067.80","0.66%"
"May 01, 2015","1,081.35","1,077.07","1,083.03","1,075.71","0.37%"
"May 04, 2015","1,081.83","1,081.25","1,083.40","1,079.19","0.04%"
"May 05, 2015","1,081.34","1,081.67","1,084.63","1,080.57","-0.05%"
"May 06, 2015","1,080.35","1,081.40","1,083.60","1,077.80","-0.09%"
"May 07, 2015","1,094.01","1,080.20","1,097.20","1,078.68","1.26%"
"May 08, 2015","1,087.99","1,094.11","1,095.00","1,087.01","-0.55%"
"May 11, 2015","1,097.14","1,088.40","1,097.90","1,084.80","0.84%"
"May 12, 2015","1,093.24","1,097.14","1,098.80","1,092.22","-0.36%"
"May 13, 2015","1,092.97","1,093.22","1,101.20","1,089.88","-0.02%"
"May 14, 2015","1,088.61","1,092.97","1,098.30","1,088.40","-0.40%"
"May 15, 2015","1,083.72","1,089.16","1,095.80","1,083.46","-0.45%"
"May 18, 2015","1,090.45","1,084.10","1,091.35","1,083.60","0.62%"
"May 19, 2015","1,095.37","1,090.45","1,096.15","1,088.15","0.45%"
"May 20, 2015","1,096.28","1,095.39","1,099.15","1,093.67","0.08%"
"May 21, 2015","1,093.32","1,096.16","1,097.92","1,092.48","-0.27%"
"May 22, 2015","1,096.68","1,093.32","1,096.75","1,088.90","0.31%"
"May 25, 2015","1,096.96","1,097.55","1,098.31","1,096.39","0.03%"
"May 26, 2015","1,107.92","1,097.02","1,108.35","1,096.69","1.00%"
"May 27, 2015","1,109.43","1,107.75","1,112.21","1,104.19","0.14%"
"May 28, 2015","1,108.68","1,109.43","1,111.62","1,104.49","-0.07%"
"May 29, 2015","1,113.01","1,108.68","1,115.64","1,106.89","0.39%"
"Jun 01, 2015","1,116.20","1,113.35","1,117.31","1,109.40","0.29%"
