"Date","Price","Open","High","Low","Change %"
"Jun 24, 2021","27.911","28.043","28.154","27.838","-0.20%"
"Jun 23, 2021","27.966","27.997","28.160","27.923","-0.10%"
"Jun 22, 2021","27.995","27.898","28.065","27.778","0.35%"
"Jun 21, 2021","27.897","27.796","27.997","27.749","0.38%"
"Jun 18, 2021","27.791","27.772","27.971","27.677","0.08%"
"Jun 17, 2021","27.770","27.772","27.886","27.698","0.00%"
"Jun 16, 2021","27.770","27.663","27.837","27.531","0.40%"
"Jun 15, 2021","27.660","27.702","27.854","27.372","-0.11%"
"Jun 14, 2021","27.691","27.656","27.758","27.627","0.18%"
"Jun 11, 2021","27.641","27.669","27.792","27.544","-0.09%"
"Jun 10, 2021","27.667","27.705","27.801","27.640","-0.15%"
"Jun 09, 2021","27.708","27.721","27.906","27.535","0.04%"
"Jun 08, 2021","27.696","27.729","27.872","27.535","-0.05%"
"Jun 07, 2021","27.709","27.551","27.788","27.546","0.63%"
"Jun 04, 2021","27.536","27.685","27.865","27.542","-0.61%"
"Jun 03, 2021","27.705","27.670","27.795","27.475","0.13%"
"Jun 02, 2021","27.668","27.576","27.784","27.386","0.34%"
"Jun 01, 2021","27.573","27.562","27.702","27.426","0.18%"
"May 31, 2021","27.524","27.700","27.757","27.507","-0.62%"
"May 28, 2021","27.697","27.812","27.931","27.608","-0.40%"
"May 27, 2021","27.808","27.771","27.872","27.681","0.14%"
"May 26, 2021","27.768","27.890","27.948","27.649","-0.43%"
"May 25, 2021","27.888","27.933","28.111","27.723","-0.15%"
"May 24, 2021","27.930","27.964","28.028","27.875","-0.11%"
"May 21, 2021","27.961","27.945","28.103","27.764","0.06%"
"May 20, 2021","27.943","27.985","28.145","27.885","-0.16%"
"May 19, 2021","27.988","27.952","28.073","27.657","0.14%"
"May 18, 2021","27.950","28.107","28.142","27.860","-0.54%"
"May 17, 2021","28.102","27.973","28.206","27.956","0.52%"
"May 14, 2021","27.958","27.956","27.991","27.837","0.06%"
"May 13, 2021","27.941","28.035","28.066","27.922","-0.29%"
"May 12, 2021","28.022","27.946","28.066","27.888","0.32%"
"May 11, 2021","27.934","27.767","27.978","27.726","0.64%"
"May 10, 2021","27.755","27.800","27.860","27.654","-0.17%"
"May 07, 2021","27.803","27.958","27.969","27.719","-0.53%"
"May 06, 2021","27.952","27.952","28.006","27.889","0.01%"
"May 05, 2021","27.950","27.973","28.022","27.903","-0.03%"
"May 04, 2021","27.957","27.923","28.055","27.837","0.18%"
"May 03, 2021","27.908","27.861","28.007","27.857","0.22%"
"Apr 30, 2021","27.846","27.850","27.989","27.771","-0.04%"
"Apr 29, 2021","27.856","27.871","27.948","27.784","0.00%"
"Apr 28, 2021","27.856","27.954","27.964","27.826","-0.23%"
"Apr 27, 2021","27.920","27.849","27.959","27.802","0.31%"
"Apr 26, 2021","27.834","28.047","28.110","27.796","-0.71%"
"Apr 23, 2021","28.032","28.102","28.148","28.008","-0.19%"
"Apr 22, 2021","28.086","28.113","28.154","28.017","-0.02%"
"Apr 21, 2021","28.091","28.123","28.153","28.031","-0.07%"
"Apr 20, 2021","28.111","28.146","28.302","27.902","-0.09%"
"Apr 19, 2021","28.135","28.266","28.368","28.059","-0.69%"
"Apr 16, 2021","28.330","28.325","28.522","28.104","0.04%"
"Apr 15, 2021","28.318","28.451","28.601","28.265","-0.43%"
"Apr 14, 2021","28.441","28.423","28.514","28.417","0.11%"
"Apr 13, 2021","28.409","28.443","28.548","28.391","-0.10%"
"Apr 12, 2021","28.437","28.477","28.537","28.418","-0.02%"
"Apr 09, 2021","28.442","28.444","28.489","28.381","0.05%"
"Apr 08, 2021","28.429","28.458","28.597","28.274","-0.09%"
"Apr 07, 2021","28.456","28.448","28.496","28.359","0.08%"
"Apr 06, 2021","28.434","28.450","28.533","28.395","-0.09%"
"Apr 05, 2021","28.460","28.545","28.567","28.427","-0.25%"
"Apr 02, 2021","28.530","28.493","28.563","28.416","0.19%"
"Apr 01, 2021","28.477","28.460","28.597","28.385","0.12%"
"Mar 31, 2021","28.444","28.514","28.550","28.421","-0.20%"
"Mar 30, 2021","28.500","28.557","28.607","28.451","-0.04%"
"Mar 29, 2021","28.512","28.607","28.667","28.486","-0.31%"
"Mar 26, 2021","28.602","28.617","28.676","28.510","-0.03%"
"Mar 25, 2021","28.611","28.507","28.680","28.407","0.43%"
"Mar 24, 2021","28.489","28.485","28.583","28.444","0.04%"
"Mar 23, 2021","28.479","28.392","28.539","28.299","0.35%"
"Mar 22, 2021","28.379","28.401","28.501","28.372","-0.02%"
"Mar 19, 2021","28.386","28.461","28.486","28.360","-0.13%"
"Mar 18, 2021","28.424","28.258","28.515","28.177","0.61%"
"Mar 17, 2021","28.253","28.241","28.360","28.185","0.10%"
"Mar 16, 2021","28.225","28.238","28.302","28.168","0.00%"
"Mar 15, 2021","28.224","28.162","28.313","28.138","0.23%"
"Mar 12, 2021","28.159","28.097","28.294","28.014","0.23%"
"Mar 11, 2021","28.094","28.264","28.339","28.085","-0.55%"
"Mar 10, 2021","28.250","28.265","28.404","28.230","0.04%"
"Mar 09, 2021","28.240","28.298","28.431","28.236","-0.12%"
"Mar 08, 2021","28.273","27.946","28.333","27.915","1.18%"
"Mar 05, 2021","27.943","27.894","27.991","27.822","0.23%"
"Mar 04, 2021","27.878","27.787","27.913","27.721","0.35%"
"Mar 03, 2021","27.782","27.847","27.896","27.722","-0.18%"
"Mar 02, 2021","27.832","27.822","27.935","27.732","0.06%"
"Mar 01, 2021","27.816","27.877","27.896","27.800","-0.18%"
"Feb 26, 2021","27.865","27.896","27.942","27.780","0.00%"
"Feb 25, 2021","27.864","27.842","27.917","27.764","0.17%"
"Feb 24, 2021","27.818","27.863","27.893","27.805","-0.10%"
"Feb 23, 2021","27.846","27.907","27.934","27.816","-0.15%"
"Feb 22, 2021","27.888","27.928","27.953","27.876","-0.11%"
"Feb 19, 2021","27.920","27.911","27.987","27.869","0.09%"
"Feb 18, 2021","27.896","27.984","28.024","27.878","-0.31%"
"Feb 17, 2021","27.982","28.026","28.083","27.940","-0.14%"
"Feb 16, 2021","28.020","28.016","28.087","27.901","0.08%"
"Feb 15, 2021","27.999","28.030","28.058","27.955","-0.09%"
"Feb 12, 2021","28.025","28.005","28.069","27.894","0.11%"
"Feb 11, 2021","27.995","28.033","28.059","27.921","-0.12%"
"Feb 10, 2021","28.028","27.990","28.067","27.863","0.16%"
"Feb 09, 2021","27.983","28.000","28.039","27.890","0.03%"
"Feb 08, 2021","27.974","27.989","28.046","27.903","0.00%"
"Feb 05, 2021","27.974","28.000","28.042","27.909","0.00%"
"Feb 04, 2021","27.973","27.953","28.056","27.864","0.14%"
"Feb 03, 2021","27.934","27.951","28.024","27.897","-0.00%"
"Feb 02, 2021","27.935","28.011","28.045","27.936","-0.26%"
"Feb 01, 2021","28.008","28.016","28.066","27.927","0.02%"
"Jan 29, 2021","28.001","27.995","28.068","27.914","0.04%"
"Jan 28, 2021","27.990","28.028","28.135","27.934","0.06%"
"Jan 27, 2021","27.973","28.004","28.080","27.903","-0.09%"
"Jan 26, 2021","27.997","27.996","28.053","27.914","0.05%"
"Jan 25, 2021","27.983","27.967","28.036","27.952","0.11%"
"Jan 22, 2021","27.952","27.954","28.031","27.876","0.01%"
"Jan 21, 2021","27.949","28.003","28.028","27.865","-0.06%"
"Jan 20, 2021","27.965","28.004","28.093","27.917","-0.12%"
"Jan 19, 2021","27.998","27.995","28.059","27.928","0.08%"
"Jan 18, 2021","27.977","27.996","28.077","27.953","-0.01%"
"Jan 15, 2021","27.980","27.991","28.060","27.891","-0.01%"
"Jan 14, 2021","27.984","28.039","28.057","27.938","-0.00%"
"Jan 13, 2021","27.985","27.993","28.072","27.951","0.02%"
"Jan 12, 2021","27.980","28.035","28.069","27.911","-0.14%"
"Jan 11, 2021","28.018","28.017","28.089","27.960","0.06%"
"Jan 08, 2021","28.002","28.022","28.094","27.944","-0.10%"
"Jan 07, 2021","28.031","28.012","28.097","27.947","0.12%"
"Jan 06, 2021","27.997","27.976","28.056","27.921","0.13%"
"Jan 05, 2021","27.961","28.096","28.164","27.938","-0.42%"
"Jan 04, 2021","28.080","28.069","28.142","28.026","0.09%"
"Jan 01, 2021","28.054","28.114","28.126","28.038","-0.07%"
"Dec 31, 2020","28.075","28.130","28.168","28.040","-0.12%"
"Dec 30, 2020","28.109","28.098","28.164","28.028","0.05%"
"Dec 29, 2020","28.094","28.123","28.181","28.053","-0.09%"
"Dec 28, 2020","28.118","28.128","28.171","28.081","-0.02%"
"Dec 25, 2020","28.123","28.119","28.153","28.025","0.06%"
"Dec 24, 2020","28.106","28.151","28.174","28.098","-0.10%"
"Dec 23, 2020","28.134","28.170","28.202","28.081","-0.01%"
"Dec 22, 2020","28.137","28.154","28.219","28.127","0.00%"
"Dec 21, 2020","28.137","28.170","28.287","28.123","-0.06%"
"Dec 18, 2020","28.154","28.138","28.189","28.095","0.03%"
"Dec 17, 2020","28.146","28.105","28.231","28.063","0.05%"
"Dec 16, 2020","28.133","28.130","28.182","28.066","0.03%"
"Dec 15, 2020","28.125","28.131","28.211","28.083","0.04%"
"Dec 14, 2020","28.114","28.182","28.205","28.097","-0.22%"
"Dec 11, 2020","28.177","28.200","28.340","28.126","0.01%"
"Dec 10, 2020","28.175","28.268","28.276","28.184","-0.27%"
"Dec 09, 2020","28.250","28.235","28.288","28.157","0.03%"
"Dec 08, 2020","28.241","28.239","28.289","28.185","0.06%"
"Dec 07, 2020","28.224","28.216","28.317","28.209","0.08%"
"Dec 04, 2020","28.201","28.420","28.431","28.146","-0.74%"
"Dec 03, 2020","28.412","28.512","28.542","28.250","-0.24%"
"Dec 02, 2020","28.481","28.527","28.576","28.444","-0.11%"
"Dec 01, 2020","28.513","28.601","28.618","28.509","-0.22%"
"Nov 30, 2020","28.576","28.519","28.601","28.495","0.25%"
"Nov 27, 2020","28.504","28.504","28.566","28.430","0.02%"
"Nov 26, 2020","28.499","28.485","28.548","28.436","0.07%"
"Nov 25, 2020","28.480","28.491","28.544","28.400","-0.02%"
"Nov 24, 2020","28.486","28.540","28.584","28.451","-0.14%"
"Nov 23, 2020","28.525","28.536","28.570","28.490","0.00%"
"Nov 20, 2020","28.525","28.544","28.594","28.475","0.05%"
"Nov 19, 2020","28.511","28.511","28.578","28.498","0.05%"
"Nov 18, 2020","28.496","28.516","28.549","28.472","-0.05%"
"Nov 17, 2020","28.511","28.494","28.570","28.414","0.11%"
"Nov 16, 2020","28.479","28.470","28.595","28.441","0.07%"
"Nov 13, 2020","28.459","28.533","28.553","28.444","-0.18%"
"Nov 12, 2020","28.510","28.527","28.584","28.461","-0.01%"
"Nov 11, 2020","28.512","28.625","28.639","28.500","-0.26%"
"Nov 10, 2020","28.587","28.650","28.656","28.515","-0.14%"
"Nov 09, 2020","28.627","28.582","28.660","28.452","0.21%"
"Nov 06, 2020","28.567","28.530","28.632","28.488","0.20%"
"Nov 05, 2020","28.510","28.565","28.650","28.485","-0.15%"
"Nov 04, 2020","28.552","28.611","28.707","28.555","-0.19%"
"Nov 03, 2020","28.606","28.576","28.662","28.546","0.16%"
"Nov 02, 2020","28.561","28.599","28.655","28.510","-0.08%"
"Oct 30, 2020","28.584","28.602","28.646","28.372","-0.05%"
"Oct 29, 2020","28.597","28.617","28.652","28.552","0.00%"
"Oct 28, 2020","28.597","28.604","28.647","28.539","0.03%"
"Oct 27, 2020","28.589","28.604","28.646","28.507","-0.03%"
"Oct 26, 2020","28.599","28.630","28.752","28.570","-0.07%"
"Oct 23, 2020","28.618","28.724","28.725","28.576","-0.33%"
"Oct 22, 2020","28.713","28.693","28.759","28.615","0.12%"
"Oct 21, 2020","28.678","28.713","28.744","28.626","-0.08%"
"Oct 20, 2020","28.700","28.743","28.760","28.692","-0.10%"
"Oct 19, 2020","28.729","28.787","28.792","28.695","-0.18%"
"Oct 16, 2020","28.782","28.751","28.816","28.723","0.13%"
"Oct 15, 2020","28.746","28.758","28.816","28.698","-0.02%"
"Oct 14, 2020","28.753","28.745","28.883","28.666","0.04%"
"Oct 13, 2020","28.742","28.621","28.781","28.573","0.50%"
"Oct 12, 2020","28.599","28.616","28.715","28.549","-0.05%"
"Oct 09, 2020","28.612","28.627","28.674","28.549","-0.09%"
"Oct 08, 2020","28.638","28.678","28.759","28.622","-0.09%"
"Oct 07, 2020","28.663","28.821","28.857","28.628","-0.53%"
"Oct 06, 2020","28.817","28.756","28.834","28.674","0.30%"
"Oct 05, 2020","28.732","28.934","28.940","28.678","-0.65%"
"Oct 02, 2020","28.920","28.878","28.979","28.872","0.20%"
"Oct 01, 2020","28.863","28.946","28.951","28.832","-0.21%"
"Sep 30, 2020","28.923","28.985","29.042","28.896","-0.26%"
"Sep 29, 2020","28.999","29.108","29.146","28.954","-0.33%"
"Sep 28, 2020","29.094","29.266","29.288","29.079","-0.54%"
"Sep 25, 2020","29.253","29.267","29.323","29.179","-0.03%"
"Sep 24, 2020","29.262","29.217","29.408","29.131","0.38%"
"Sep 23, 2020","29.151","29.046","29.250","29.010","0.41%"
"Sep 22, 2020","29.032","28.982","29.125","28.956","0.24%"
"Sep 21, 2020","28.963","29.000","29.032","28.782","-0.08%"
"Sep 18, 2020","28.985","29.150","29.189","28.975","-0.48%"
"Sep 17, 2020","29.126","29.215","29.261","29.101","-0.37%"
"Sep 16, 2020","29.234","29.231","29.269","29.126","0.06%"
"Sep 15, 2020","29.217","29.257","29.279","29.167","-0.10%"
"Sep 14, 2020","29.245","29.297","29.323","29.213","-0.16%"
"Sep 11, 2020","29.291","29.275","29.341","29.204","0.04%"
"Sep 10, 2020","29.279","29.310","29.333","29.232","0.01%"
"Sep 09, 2020","29.277","29.270","29.359","29.166","0.06%"
"Sep 08, 2020","29.258","29.332","29.338","29.222","-0.17%"
"Sep 07, 2020","29.308","29.338","29.378","29.253","-0.05%"
"Sep 04, 2020","29.324","29.347","29.379","29.288","-0.06%"
"Sep 03, 2020","29.342","29.366","29.397","29.293","-0.05%"
"Sep 02, 2020","29.357","29.370","29.390","29.297","0.01%"
"Sep 01, 2020","29.353","29.377","29.403","29.285","-0.04%"
"Aug 31, 2020","29.365","29.347","29.409","29.306","0.09%"
"Aug 28, 2020","29.338","29.384","29.415","29.274","-0.14%"
"Aug 27, 2020","29.378","29.361","29.404","29.290","0.10%"
"Aug 26, 2020","29.348","29.375","29.414","29.291","-0.03%"
"Aug 25, 2020","29.358","29.382","29.424","29.295","-0.02%"
"Aug 24, 2020","29.365","29.407","29.443","29.312","-0.09%"
"Aug 21, 2020","29.392","29.422","29.448","29.318","-0.00%"
"Aug 20, 2020","29.393","29.400","29.485","29.312","0.04%"
"Aug 19, 2020","29.381","29.427","29.437","29.332","0.00%"
"Aug 18, 2020","29.381","29.390","29.451","29.341","-0.02%"
"Aug 17, 2020","29.386","29.397","29.464","29.353","-0.02%"
"Aug 14, 2020","29.392","29.439","29.452","29.336","-0.13%"
"Aug 13, 2020","29.430","29.369","29.474","29.299","0.26%"
"Aug 12, 2020","29.354","29.406","29.475","29.326","-0.13%"
"Aug 11, 2020","29.392","29.401","29.465","29.316","0.02%"
"Aug 10, 2020","29.386","29.436","29.441","29.351","-0.12%"
"Aug 07, 2020","29.421","29.396","29.445","29.306","0.14%"
"Aug 06, 2020","29.379","29.372","29.410","29.299","0.07%"
"Aug 05, 2020","29.357","29.391","29.402","29.307","-0.06%"
"Aug 04, 2020","29.375","29.378","29.433","29.320","0.12%"
