,us,eu,china,korea,taiwan,date
80,25166,48772,87527,173451,211197,2015/7/1
81,26084,49670,87169,171394,215891,2015/7/2
82,24683,49799,88098,168723,202929,2015/7/3
83,24170,48277,86605,165776,207440,2015/7/4
84,24226,47428,84852,172752,195276,2015/7/5
85,24863,47014,84774,168870,206208,2015/7/6
86,25451,47790,83126,176174,203615,2015/7/7
87,25535,47702,82884,172355,196287,2015/7/8
88,25169,46478,82220,170563,187176,2015/7/9
89,24853,47732,81029,171302,184381,2015/7/10
90,24898,47485,80813,170014,187305,2015/7/11
91,24541,48192,78671,173098,195046,2015/7/12
92,25860,47228,79534,169484,168563,2015/7/13
93,24952,46632,77718,172685,195747,2015/7/14
94,25257,47128,79440,170266,197580,2015/7/15
95,25480,47045,78826,173109,186145,2015/7/16
96,24813,47408,78802,169961,179076,2015/7/17
97,24820,46678,78809,169779,187281,2015/7/18
98,24797,47239,78518,166964,179424,2015/7/19
99,25476,47283,78044,170405,193477,2015/7/20
100,25684,47442,78331,171544,194354,2015/7/21
101,25231,47319,79071,172637,186410,2015/7/22
102,25523,47686,78659,174469,187995,2015/7/23
103,25098,47166,78548,166887,189596,2015/7/24
104,24856,46973,79186,171709,189993,2015/7/25
105,24943,46916,78722,173454,186497,2015/7/26
106,25639,47006,78925,178110,189901,2015/7/27
107,25823,46669,79268,175167,189475,2015/7/28
108,26268,47370,79472,175351,190149,2015/7/29
109,26015,47604,79088,183346,187016,2015/7/30
110,25272,46689,79049,165593,186048,2015/7/31
111,25378,46940,79679,170242,188361,2015/8/1
112,25633,47382,79083,172645,182530,2015/8/2
113,26286,47217,79463,172245,187791,2015/8/3
114,26674,47472,78114,184423,187722,2015/8/4
115,27493,47237,79043,167625,180753,2015/8/5
116,29953,48542,79973,169489,180723,2015/8/6
117,27231,47838,80461,168691,190317,2015/8/7
118,26587,47180,79670,166489,181420,2015/8/8
119,27273,48782,78960,168468,187126,2015/8/9
120,27320,46965,79230,164178,187557,2015/8/10
121,27753,47676,79217,172028,179649,2015/8/11
122,27722,50031,79115,170176,184405,2015/8/12
123,26922,48144,78751,168444,177868,2015/8/13
124,26842,47441,78792,172190,178143,2015/8/14
125,26378,46522,79441,170090,179254,2015/8/15
126,26737,48322,79243,174082,180856,2015/8/16
127,27116,47046,78453,169084,179773,2015/8/17
128,26923,47153,78405,174432,179165,2015/8/18
129,29002,48064,79302,170978,177438,2015/8/19
130,27775,47691,78677,179577,181283,2015/8/20
131,26664,47038,77859,179402,179251,2015/8/21
132,26523,47909,78426,170782,179520,2015/8/22
133,26749,47653,78832,175077,179708,2015/8/23
134,27261,47967,78291,170955,180028,2015/8/24
135,27896,47468,78284,174928,178006,2015/8/25
136,28357,49164,78577,169763,179371,2015/8/26
137,27364,48859,78011,177413,180430,2015/8/27
