,us,eu,china,korea,taiwan,date
80,25166.0,48772.0,87527.0,173451.0,211197.0,2015/7/1
81,26084.0,49670.0,87169.0,171394.0,215891.0,2015/7/2
82,24683.0,49799.0,88098.0,168723.0,202929.0,2015/7/3
83,24170.0,48277.0,86605.0,165776.0,207440.0,2015/7/4
84,24226.0,47428.0,84852.0,172752.0,195276.0,2015/7/5
85,24863.0,47014.0,84774.0,168870.0,206208.0,2015/7/6
86,25451.0,47790.0,83126.0,176174.0,203615.0,2015/7/7
87,25535.0,47702.0,82884.0,172355.0,196287.0,2015/7/8
88,25169.0,46478.0,82220.0,170563.0,187176.0,2015/7/9
89,24853.0,47732.0,81029.0,171302.0,184381.0,2015/7/10
90,24898.0,47485.0,80813.0,170014.0,187305.0,2015/7/11
91,24541.0,48192.0,78671.0,173098.0,195046.0,2015/7/12
92,25860.0,47228.0,79534.0,169484.0,168563.0,2015/7/13
93,24952.0,46632.0,77718.0,172685.0,195747.0,2015/7/14
94,25257.0,47128.0,79440.0,170266.0,197580.0,2015/7/15
95,25480.0,47045.0,78826.0,173109.0,186145.0,2015/7/16
96,24813.0,47408.0,78802.0,169961.0,179076.0,2015/7/17
97,24820.0,46678.0,78809.0,169779.0,187281.0,2015/7/18
98,24797.0,47239.0,78518.0,166964.0,179424.0,2015/7/19
99,25476.0,47283.0,78044.0,170405.0,193477.0,2015/7/20
100,25684.0,47442.0,78331.0,171544.0,194354.0,2015/7/21
101,25231.0,47319.0,79071.0,172637.0,186410.0,2015/7/22
102,25523.0,47686.0,78659.0,174469.0,187995.0,2015/7/23
103,25098.0,47166.0,78548.0,166887.0,189596.0,2015/7/24
104,24856.0,46973.0,79186.0,171709.0,189993.0,2015/7/25
105,24943.0,46916.0,78722.0,173454.0,186497.0,2015/7/26
106,25639.0,47006.0,78925.0,178110.0,189901.0,2015/7/27
107,25823.0,46669.0,79268.0,175167.0,189475.0,2015/7/28
108,26268.0,47370.0,79472.0,175351.0,190149.0,2015/7/29
109,26015.0,47604.0,79088.0,183346.0,187016.0,2015/7/30
110,25272.0,46689.0,79049.0,165593.0,186048.0,2015/7/31
111,25378.0,46940.0,79679.0,170242.0,188361.0,2015/8/1
112,25633.0,47382.0,79083.0,172645.0,182530.0,2015/8/2
113,26286.0,47217.0,79463.0,172245.0,187791.0,2015/8/3
114,26674.0,47472.0,78114.0,184423.0,187722.0,2015/8/4
115,27493.0,47237.0,79043.0,167625.0,180753.0,2015/8/5
116,29953.0,48542.0,79973.0,169489.0,180723.0,2015/8/6
117,27231.0,47838.0,80461.0,168691.0,190317.0,2015/8/7
118,26587.0,47180.0,79670.0,166489.0,181420.0,2015/8/8
119,27273.0,48782.0,78960.0,168468.0,187126.0,2015/8/9
120,27320.0,46965.0,79230.0,164178.0,187557.0,2015/8/10
121,27753.0,47676.0,79217.0,172028.0,179649.0,2015/8/11
122,27722.0,50031.0,79115.0,170176.0,184405.0,2015/8/12
123,26922.0,48144.0,78751.0,168444.0,177868.0,2015/8/13
124,26842.0,47441.0,78792.0,172190.0,178143.0,2015/8/14
125,26378.0,46522.0,79441.0,170090.0,179254.0,2015/8/15
126,26737.0,48322.0,79243.0,174082.0,180856.0,2015/8/16
